Car Index,Station Index,Arrival Time,,,,Velocity,Position
2,2,346.2700161,,,,1.79990773,22.52070002
2,3,362.491203,,,,2.184722338,51.78788034
2,4,380.4126503,,,,3.010602949,78.59455464
2,5,395.094782,,,,2.277782782,111.4911045
2,6,410.8518484,,,,2.234191704,143.6155214
2,7,426.4500361,,,,1.746472797,172.0092994
2,8,441.3240746,,,,3.089832137,198.5911062
2,1,457.3114408,,,,1.717622253,0
2,2,473.0963436,,,,2.032182853,21.83420731
2,3,489.689663,,,,1.760461437,49.13217636
2,5,503.2558882,,,,2.470510491,86.25
2,6,518.7591262,,,,3.026236451,115
2,6,532.4685229,,,,2.58529623,137.1475896
2,7,547.6737327,,,,1.979583811,169.3256577
2,8,561.2261238,,,,1.636292942,196.2403175
2,1,575.4860029,,,,2.42652026,0
2,2,589.3859743,,,,1.787864258,28.75
2,3,604.7316697,,,,1.419402379,52.91540897
2,4,619.9748738,,,,2.654353578,76.01705979
2,5,634.8070342,,,,1.960216568,109.51411
2,6,647.4929779,,,,2.777873344,140.1810669
2,7,662.8375089,,,,1.771907048,168.3420808
2,8,676.1507555,,,,3.034580973,192.1532375
2,2,689.4791098,,,,1.797940221,0
2,3,709.7373588,,,,2.268348919,28.75
2,3,725.8965313,,,,1.817837169,57.5
2,5,739.8911201,,,,3.318630968,86.25
2,5,755.6445495,,,,2.100103809,115
2,6,769.1653041,,,,2.892847983,143.75
2,7,784.7806568,,,,2.497743153,167.6434005
2,8,801.0325543,,,,2.455043316,197.6711624
2,1,815.2377891,,,,2.135542417,229.7197632
2,2,830.6166055,,,,2.500750423,28.05820104
2,3,845.244828,,,,3.245077066,56.19771849
2,4,858.2719523,,,,2.661504347,82.20607624
2,5,870.98505,,,,2.515285312,113.4846566
2,6,886.3839893,,,,2.322185212,137.9347926
2,7,901.1092116,,,,2.869542194,164.225379
2,8,914.8479807,,,,3.113674064,196.7099732
2,1,930.639603,,,,4.082564288,228.6136721
2,2,944.7102376,,,,3.047015495,23.91770049
2,3,959.1191037,,,,3.557770276,51.23441948
2,4,972.8442498,,,,7.282181832,85.4486158
2,5,988.7268312,,,,3.266313385,108.0706181
3,2,6.768397115,,,,2.028105787,19.76848448
3,3,19.46211588,,,,2.323258093,47.44067215
3,4,34.93566889,,,,1.488521666,78.96087772
3,5,49.58914641,,,,1.858822493,100.5067006
3,6,62.26495049,,,,2.306943109,131.3990144
3,7,81.38144091,,,,2.104673641,166.089695
3,8,94.33684392,,,,1.7712572,196.0764807
3,1,107.0226598,,,,2.443072097,228.6810424
3,2,120.2645626,,,,2.168954084,23.5132287
3,3,132.896537,,,,2.708104234,57.17053657
3,4,149.904148,,,,2.54202029,81.63566923
3,5,165.266034,,,,3.056358561,108.904549
3,6,179.9104952,,,,1.663755378,140.7288213
3,7,193.0705002,,,,3.002390025,168.2917417
3,8,207.0748418,,,,2.111007643,194.2091779
