Car Index,Station Index,Arrival Time,,,,Position,Velocity
2,1,375.5317144,,,,21.0121062,2.72930012
2,2,390.6587921,,,,49.91317029,2.202542248
2,3,405.0007119,,,,79.34469416,2.487707304
2,4,421.2480433,,,,104.7634558,2.769887829
2,5,433.488107,,,,134.5593277,2.192465674
2,6,443.9535059,,,,168.4638379,2.624841085
2,7,459.5434162,,,,194.6171846,1.983875092
2,8,474.318053,,,,229.8268739,2.109643492
2,1,488.6806323,,,,17.40425855,2.384152875
2,2,502.0484537,,,,49.6246361,2.216476879
2,3,516.5608617,,,,79.8703107,2.32796911
2,4,531.5017719,,,,105.9986073,2.052850104
2,5,543.2449648,,,,134.9662492,2.420139681
2,6,558.7049585,,,,163.2363964,2.197760369
2,7,573.4563466,,,,197.0914976,2.278643528
2,8,590.0431701,,,,228.4603123,1.909051041
2,1,603.636689,,,,22.19721771,1.908554212
2,3,621.3203121,,,,57.5,3.070408378
2,3,637.1978051,,,,79.86644791,1.959629066
2,4,650.9859571,,,,107.354771,2.119159788
2,6,667.6280377,,,,143.75,2.288415326
2,6,686.1650048,,,,166.5537985,1.077955019
2,7,698.9129092,,,,193.5225137,2.773422437
2,8,713.0015698,,,,229.64851,2.051453474
2,1,727.1358367,,,,22.24251372,1.975134311
2,2,740.4648775,,,,47.63674108,3.052721405
2,3,757.5461397,,,,79.94403322,0.994627243
2,4,769.938082,,,,107.3219923,2.787859916
2,5,783.1165036,,,,139.5110261,2.682553235
2,6,798.8093802,,,,164.8644347,2.649185255
2,7,812.1600094,,,,194.59697,2.448661186
2,8,828.9593126,,,,229.908926,1.368724482
2,1,842.2222378,,,,23.32281176,2.840839455
2,2,859.3275708,,,,51.21624906,1.152369576
2,3,872.0056961,,,,77.6838215,2.12695129
2,4,886.5466872,,,,106.3733085,2.279319668
2,6,901.2188124,,,,143.75,2.124773071
2,6,916.0628264,,,,167.9551826,1.895284453
2,7,928.8441778,,,,196.4664902,1.927087622
2,8,943.3416264,,,,229.4555307,2.035287046
2,2,961.2239381,,,,28.75,2.62635064
2,2,977.5852924,,,,53.48621655,2.333522148
2,3,994.8955852,,,,80.16851816,1.803350331
3,1,5.664046455,,,,20.81514987,2.318488956
3,2,20.58430766,,,,46.44274414,2.136601689
3,3,32.68798266,,,,78.75621675,2.035480801
3,4,46.85980134,,,,107.623019,2.106909243
3,5,60.45995887,,,,137.4875567,2.0421119
3,6,73.60990331,,,,166.4741618,2.336507102
3,7,88.30633837,,,,196.7829244,1.640052704
3,8,104.3826237,,,,228.7237208,2.118908181
3,1,118.0290153,,,,20.23249311,2.546528399
3,3,131.5924844,,,,57.5,2.009839533
3,4,145.9141517,,,,86.25,2.779037245
3,5,162.9382039,,,,115,2.429589627
3,5,177.318317,,,,133.8202992,2.602082543
3,6,197.5114989,,,,167.0483286,2.071462167
3,7,212.1207711,,,,196.6189795,2.060887587
3,8,239.1254738,,,,228.4722884,2.238743037
3,1,247.1150326,,,,18.24060626,2.939966783
3,2,265.2918292,,,,53.01795604,2.188629084
3,3,283.9868639,,,,82.06239573,3.246742026
3,4,299.4325638,,,,107.9187001,1.71069221
