Car Index,Station Index,Arrival Time,,,,Velocity,Position
1,1,13.10324938,12.8,0.303249376,,1.904183399,19.31331821
1,2,24.42005782,26.6,2.179942185,,2.982973347,45.68356121
1,3,39.34921747,39.3,0.049217468,,1.723571346,81.73210705
1,4,53.3666324,51.5,1.866632399,,2.172950356,112.1976915
1,5,67.5043875,64.9,2.604387497,,2.649296033,138.9653678
1,6,82.05752851,77.3,4.757528508,,1.418144912,170.160618
1,7,93.64110178,90.2,3.441101778,,2.844262492,195.8687985
1,1,107.4880784,103.5,3.988078382,,2.80263419,0
1,2,122.1982857,116.2,5.99828574,,3.153038344,28.75
1,3,138.7902653,129.1,9.690265295,,1.954104291,57.5
1,4,155.2239499,141.8,13.42394986,,1.431511811,86.25
1,4,175.1386757,155.2,19.93867571,,1.173916003,103.7766608
1,5,190.2089408,168.1,22.10894076,,1.773149745,123.5442572
1,6,205.3629092,181.2,24.16290916,,1.834559089,149.4028206
1,7,224.2805066,193.8,30.48050662,,1.416917381,178.3997138
1,8,239.5684826,206.1,33.46848262,,1.892556935,227.8379211
1,1,253.7218154,218.7,35.02181545,,2.061267554,3.453188343
1,2,272.138125,231.7,40.43812503,,1.520309986,31.23951879
1,3,290.887247,244.7,46.18724702,,1.533405138,57.5
1,4,301.2381563,257.4,43.83815625,,2.777533775,86.25
1,5,312.1319001,270.4,41.73190008,,2.639129435,115
1,6,328.7902264,283.4,45.39022645,,1.725863653,143.75
1,7,340.9447884,295.9,45.0447884,,2.365367021,172.5
1,8,354.5974566,308.4,46.1974566,,2.105815478,229.6877429
1,1,366.1353441,321.2,44.93534408,,2.491790638,0
1,2,377.3842019,334.2,43.18420195,,2.676924063,31.3884923
1,3,391.5911723,347.6,43.99117233,,1.990733749,67.00364308
1,4,410.20559,361,49.20559004,,1.322601771,95.72836749
1,5,422.0760801,373.9,48.17608014,,2.455566747,117.8181752
1,6,435.0517588,386.3,48.75175884,,2.086379403,152.0785925
1,7,447.7481861,398,49.74818613,,2.209519469,187.634073
1,8,461.1872988,410.5,50.68729881,,2.279695004,229.9380638
1,1,474.6977196,423.9,50.79771958,,1.62192726,25.64766796
1,2,489.1949525,437,52.1949525,,1.569443915,55.41633958
1,3,503.5216151,450.2,53.32161511,,2.396351611,82.94516474
1,4,516.6823767,462.7,53.98237675,,2.035281457,111.7596436
1,5,531.2616891,475.7,55.56168906,,1.525410712,140.0316352
1,6,547.2291836,488.4,58.82918358,,1.553019487,167.7398451
1,7,559.9575161,500.7,59.25751615,,2.330265629,192.114462
1,8,575.9988436,512.9,63.09884364,,2.053489829,229.3961498
1,1,589.217305,526.3,62.91730504,,2.538455272,22.00728406
1,2,603.5725284,539,64.57252844,,3.004978849,52.84719906
1,3,618.22897,552.4,65.82897002,,2.839200268,77.06427988
1,4,632.0579721,565.1,66.9579721,,2.500491543,108.9958262
1,5,643.3848697,577.2,66.18486974,,3.902928504,138.2752639
1,6,656.4019431,589.4,67.00194312,,2.140953157,167.448071
