Car Index,Station Index,Arrival Time,,,,Velocity,Position
1,1,12.68958928,12.8,0.110410725,,2.553969696,23.74735443
1,2,30.58857368,26.6,3.988573676,,1.994405292,48.6750579
1,3,43.70607734,39.3,4.40607734,,2.39924791,74.48165767
1,4,55.337945,51.5,3.837944996,,2.880864669,107.146251
1,5,71.24924305,64.9,6.34924305,,1.620319959,133.6204372
1,6,85.47286595,77.3,8.172865945,,3.539025021,165.6182537
1,7,99.32622834,90.2,9.126228342,,1.889987941,193.7553372
1,1,113.8571731,103.5,10.35717307,,2.294515694,0
1,2,130.3118768,116.2,14.11187676,,1.445804875,28.75
1,2,146.564061,129.1,17.464061,,2.334910785,48.5122242
1,3,161.307668,141.8,19.50766799,,1.990467929,78.48287906
1,5,180.9153888,155.2,25.71538879,,2.33324041,115
1,6,198.0524411,168.1,29.95244107,,2.559503613,143.75
1,7,213.8144512,181.2,32.61445125,,2.410767991,172.5
1,7,227.053097,193.8,33.25309702,,2.833826329,189.6892371
1,8,240.1978729,206.1,34.09787291,,1.739915206,229.3636142
1,1,253.7637895,218.7,35.06378953,,2.225668582,23.75275381
1,2,267.7604877,231.7,36.06048766,,2.510625823,53.1151671
1,4,283.0785678,244.7,38.37856784,,2.056773791,86.25
1,4,297.4688602,257.4,40.06886016,,2.605785889,109.8192059
1,6,333.6000653,270.4,63.20006533,,1.849813535,143.75
1,7,366.7334389,283.4,83.33343891,,2.574248852,172.5
1,7,383.1949461,295.9,87.2949461,,1.713674632,189.2971152
1,8,395.8941901,308.4,87.49419013,,2.045960401,227.1442639
1,1,409.2419806,321.2,88.04198064,,1.882752431,19.37903997
1,2,422.8280662,334.2,88.62806621,,1.930835728,48.74814293
1,3,440.3567121,347.6,92.75671207,,1.090739556,77.69592214
1,4,455.1312737,361,94.13127374,,1.624634225,102.9317914
1,5,468.4912086,373.9,94.59120856,,2.284717849,125.6448786
1,6,481.9219548,386.3,95.62195484,,2.237268146,153.7350861
1,7,495.056399,398,97.056399,,2.130151136,182.8132821
1,8,511.3615115,410.5,100.8615115,,1.827272101,229.6484534
1,1,520.6211094,423.9,96.72110935,,3.441852049,8.075317767
1,2,536.8651989,437,99.86519892,,1.681112373,44.05101453
1,4,551.7874768,450.2,101.5874768,,2.004858872,86.25
1,5,567.080451,462.7,104.380451,,2.111497821,115
1,5,581.7746398,475.7,106.0746398,,1.946355978,139.7398397
1,6,597.5817847,488.4,109.1817847,,2.469588939,165.4189515
1,7,611.2864119,500.7,110.5864119,,2.426617295,194.1326075
1,8,627.1745836,512.9,114.2745836,,2.957082553,226.9044657
1,1,645.4919336,526.3,119.1919336,,1.597328524,24.01275588
1,2,657.9067369,539,118.9067369,,2.53214305,50.57611256
1,4,674.0381503,552.4,121.6381503,,2.010452275,86.25
1,4,689.8400995,565.1,124.7400995,,2.336314168,106.7312491
1,5,704.7427771,577.2,127.5427771,,1.581577431,137.9416116
1,6,717.8939687,589.4,128.4939687,,2.742599939,164.7546465
1,7,732.1864882,602.6,129.5864882,,2.479392694,192.7900086
1,8,745.8485583,616.1,129.7485583,,2.411447479,229.8646646
1,1,764.1113685,628.2,135.9113685,,1.439461018,16.26085332
1,2,778.0004613,641.9,136.1004613,,2.09486808,39.66216615
1,3,789.1052689,655.3,133.8052689,,2.731737892,69.59189648
1,4,802.2138598,668.5,133.7138598,,2.438896938,102.2226934
1,5,815.4299831,679.8,135.6299831,,2.474276776,132.3858683
1,6,830.1952388,691.9,138.2952388,,1.701724578,163.1488006
1,7,842.6255649,705.3,137.3255649,,2.748169243,188.7808439
1,8,856.394115,718.8,137.594115,,1.228583896,229.6587191
1,1,872.3858545,731.6,140.7858545,,2.104396722,24.5403525
1,2,889.0026522,745.1,143.9026522,,1.875051307,51.5591498
1,3,905.4439892,758.4,147.0439892,,1.659000256,80.50968046
1,4,920.2032882,769.3,150.9032882,,1.795570293,106.3818014
1,5,934.502697,781.8,152.702697,,2.090869782,136.7151352
1,6,949.1387306,794.4,154.7387306,,2.603520916,164.1528361
1,7,962.2612524,808.5,153.7612524,,2.7685415,192.098801
1,8,977.5658572,822,155.5658572,,2.351882852,228.5660253
1,1,993.8626551,833.9,159.9626551,,1.939797073,21.25939578
2,1,10.73081679,,,,2.15674416,17.72429977
2,2,26.16372476,,,,1.97453239,42.0228456
2,3,38.80106428,,,,2.022523167,76.62761025
2,4,52.6117673,,,,2.100615069,104.9240337
2,5,64.9976612,,,,2.733498112,137.3692334
2,6,83.52833425,,,,1.810264518,165.3099765
2,7,95.36077298,,,,2.409982825,192.433352
2,1,109.9306603,,,,2.614357784,0
2,1,126.6734642,,,,1.398182005,20.3063635
2,2,142.7147594,,,,1.760066596,52.6253754
2,3,157.4055097,,,,1.797852599,80.78529072
2,5,175.8712598,,,,2.173804434,115
2,5,191.7178967,,,,1.927787454,137.8950728
2,7,207.1439293,,,,2.382590846,172.5
2,7,222.9735376,,,,2.295949187,195.1881537
2,8,237.5443981,,,,2.208527335,228.9875486
2,1,251.5185109,,,,2.49118362,23.05397397
2,2,266.0139777,,,,1.806909529,53.42489879
2,3,278.9597226,,,,2.204246534,81.0264059
2,4,295.4806715,,,,2.528313608,110.0614251
2,6,332.8129069,,,,1.927199297,143.75
2,7,361.0833539,,,,3.014751959,172.5
2,8,376.2199436,,,,2.250069101,201.25
2,8,391.3278494,,,,2.361212855,229.0821274
2,1,404.2647144,,,,2.499164556,24.39763038
2,2,418.295388,,,,3.112580996,52.74650833
2,3,432.5142553,,,,3.058818749,78.04718625
2,4,447.7030118,,,,2.103412131,105.5398916
2,5,460.5667633,,,,2.520432207,133.6909646
2,6,473.534532,,,,1.826745222,164.5732125
2,8,486.401277,,,,2.243784973,201.25
2,1,500.8366069,,,,1.781757283,0
2,1,514.6142613,,,,2.540063327,22.71356812
2,2,528.8651475,,,,2.134217755,52.60407616
2,3,544.8086109,,,,2.260891971,81.84926055
