Car Index,Station Index,Arrival Time,Velocity,Position
2,4,830.3831657,2.923271115,86.0355096
2,5,849.3566731,2.409309651,113.1266501
2,6,862.8330182,2.161282023,134.8899887
2,7,876.3888943,1.866892666,163.2293804
2,8,890.5550976,2.256480044,189.4520958
2,1,903.7327746,2.412298742,229.3447119
2,2,917.612596,1.720125983,24.68100939
2,3,931.8198637,1.870355769,54.12273747
2,4,947.0342546,1.764052129,81.2767957
2,5,961.1191475,1.956133507,104.7931556
2,6,973.6195499,2.752954315,134.6899715
2,7,986.245329,2.32950222,169.944234
2,8,999.8434642,2.602084812,197.9950996
3,2,6.034696551,2.111019068,21.09528096
3,3,18.60645148,2.406306237,46.22692587
3,4,31.75002166,2.388983369,75.37085388
3,5,47.44077031,1.413992811,103.7726058
3,6,60.32523751,2.509427736,130.5861726
3,7,71.7218633,2.378895449,163.8391306
3,8,86.6945461,2.414772018,189.5004449
3,1,99.11613286,2.109333733,229.7215261
3,2,115.1753186,2.130891491,28.75
3,3,131.9815063,1.823880649,55.18173904
3,4,148.2514389,1.444708079,82.86514581
3,5,163.3387438,3.016757509,102.7644048
3,6,180.4669224,2.714372166,136.1380724
3,7,196.7672679,2.089703454,168.7075681
3,8,210.1531031,4.23908478,200.8072885
3,1,224.9987555,3.204286583,225.9683265
3,2,238.6078184,2.036585484,20.38344507
3,3,250.727495,3.096865172,48.08478781
3,4,263.1587773,3.649950774,78.14321189
3,5,279.8264145,3.635803623,108.5628393
3,6,292.5342858,3.07815672,137.8217351
3,7,306.8110199,2.617911941,170.7010709
3,8,320.2514908,3.689732842,198.6481614
3,1,334.2772792,2.297501092,229.5410892
3,2,349.3809994,2.2366275,24.72892888
3,3,364.5152821,1.958982869,46.77550218
3,4,377.15706,1.853271917,79.76120374
3,5,394.2897963,2.064727247,107.7941518
3,6,408.0133758,2.869675116,132.5136712
3,7,421.9884318,2.06333034,158.8553777
3,8,433.2637292,2.13348651,187.145997
3,1,446.2679469,2.873461146,229.1068453
3,2,457.4398692,2.706883671,21.66538803
3,3,471.3874633,2.305258049,52.9866186
3,4,484.5115471,2.854692481,83.65125988
3,5,499.2555327,2.619135393,111.2324315
3,6,513.0859859,2.098402363,141.7234481
3,7,527.2868381,1.685796656,167.6256987
3,8,540.7486085,1.707218663,198.9610649
3,1,554.4954513,2.289603694,224.4165074
3,2,566.7120101,2.285887366,25.4140918
3,3,581.4188873,1.843281771,51.93716593
3,4,595.8245426,2.401623031,76.54926289
3,5,609.9504485,2.643511608,103.1414946
3,6,625.0310876,2.034407878,135.2168717
3,7,640.8772321,2.081504671,159.2737488
3,8,653.2720691,2.392897409,190.7183453
3,1,667.343014,2.143565188,229.5251201
3,2,680.6939174,2.132863623,21.07794586
3,3,694.3257202,2.64039244,54.58982693
3,4,710.6836745,2.297087197,85.75474936
3,5,723.089399,2.095316879,115
3,6,737.7076555,1.89050613,143.75
3,7,751.2482304,2.65145344,169.1634872
3,8,764.7433864,2.080743997,199.1015025
3,1,780.0486122,1.915795878,226.7211326
3,2,795.4209046,2.031142782,26.45534842
3,3,810.6253676,1.98982275,50.80396998
3,4,830.3097923,1.068639903,76.49589981
3,5,848.5791268,1.303036943,98.08464217
3,6,858.7335943,2.867703949,115.802349
3,7,871.4230921,2.267653671,155.3755287
3,8,885.3266426,2.626296646,185.5306184
3,1,900.9308939,1.772368359,229.9314331
3,2,915.247077,2.06643501,20.72142091
3,3,930.0141845,1.780921788,46.7485507
3,4,944.2150611,2.085736796,73.12706056
3,5,955.9012806,2.918510147,104.5864301
3,6,970.3285296,2.051976726,134.6006369
3,7,985.1481994,1.952791631,160.8879347
3,8,998.5925824,2.560419802,187.4867825
4,2,2.40861891,2.387260175,23
4,3,13.92164705,2.224840282,53.24540926
4,4,27.1961406,2.236688492,78.06872058
4,5,39.50056431,2.339316979,108.5864409
4,6,55.07948878,2.320498593,135.3900659
4,7,68.08115288,2.316987804,159.1642521
4,8,81.82884658,2.44097464,201.25
4,1,97.71499752,1.724514069,0
4,2,114.1559753,2.646195104,28.75
4,3,130.7104467,2.837388705,54.7820133
4,4,145.9085059,3.675411637,81.86649033
4,5,159.2828675,6.969320346,112.8131942
4,6,177.6626174,4.571960447,142.3209126
4,7,194.9524497,2.712287155,165.8623599
4,8,210.0486675,2.289032001,182.3240192
4,1,223.740543,2.589479437,229.7805899
4,2,234.4996899,2.746510986,16.64693731
4,3,247.6872553,1.999468751,50.62265158
4,4,260.9377095,2.287355267,81.07767134
4,5,278.0559226,1.738296358,98.81559154
4,6,290.6083718,2.213420573,121.0081511
4,7,306.1238581,1.779672954,157.3979369
4,8,319.5463344,2.138920444,191.4410885
4,1,333.4800546,2.002637176,229.3848924
4,2,347.5831716,2.364098975,8.692796068
4,3,359.0407585,2.583845378,41.57687836
4,4,373.6557949,2.209089019,86.07842452
4,5,390.7998204,3.359894863,114.9694401
4,6,404.0978355,5.829571382,142.6110335
4,7,415.3755196,2.888361757,170.7531494
4,8,426.6529525,2.073916547,199.4711035
4,1,440.7504457,1.499132026,229.9922711
4,2,454.8226116,2.418128503,26.18072715
4,3,469.4295995,2.084496721,57.23489285
4,4,483.6012074,2.127372142,85.0077938
4,5,497.8170547,1.812514569,110.7630469
4,6,512.1202264,1.939036835,137.977682
4,7,524.3954447,2.944122141,172.4029807
4,8,539.4078692,2.298541558,195.3712278
4,1,551.5877203,2.237077972,229.5001972
4,2,565.2526608,2.296904333,27.14199437
4,3,578.4009906,3.162270737,52.2433339
4,4,591.7853004,2.320177251,79.37384098
4,5,605.4645574,2.393279833,107.1876563
4,6,620.8366837,2.202728129,138.0651801
4,7,634.5230541,2.319624548,169.0474286
4,8,648.8708546,3.164537788,195.5153439
4,1,662.3750296,3.023759592,228.2592637
4,2,677.0968501,2.39940374,28.75
4,3,693.2235458,1.691025049,57.5
4,4,710.4680751,1.127172427,77.43335643
4,5,722.953274,2.291576478,115
4,6,737.5522723,2.061532597,143.75
4,7,749.9898592,2.626285948,162.4840942
4,8,763.7108243,2.2871267,193.8487906
4,1,777.6415513,2.394344159,226.9801346
4,2,794.2911704,1.37253123,22.58865294
4,3,807.2602287,2.596791829,48.20099257
4,4,821.1822086,1.630942681,81.32060637
4,5,835.5976392,1.574022192,110.3937585
4,6,848.9879401,2.351273056,139.0243712
4,7,863.8714666,2.262550902,169.213754
4,8,879.3412633,2.33831327,198.0664114
4,1,893.0886782,3.003130078,228.5660056
4,2,911.3618452,1.872172884,25.12019847
4,3,923.9771707,2.488405819,54.66308656
4,4,937.9233087,2.838147591,83.87124554
4,5,952.333169,2.480378755,114.0683656
4,6,965.8697251,2.943430229,138.8163054
4,7,979.201807,2.702938486,167.8017381
4,8,993.2172071,2.357913319,197.2501218
5,3,12.00933416,2.176915441,50.62244215
5,4,23.53837625,2.576408386,82.50168345
5,5,36.75892683,2.301256347,114.0138908
5,6,51.47684316,2.184345161,137.7033625
5,7,62.32551277,2.619859151,170.8386802
5,8,78.71825407,1.972521902,201.25
5,1,96.39532882,1.82570132,0
5,2,113.7911777,2.906290594,28.75
5,3,129.7525283,1.693376522,37.56768696
5,4,144.7158478,1.859765781,66.90677572
5,5,158.9690914,1.902142344,92.7768699
5,6,177.3500409,1.564119423,115
5,7,192.5052014,1.897043579,143.75
5,8,201.7805521,3.101602472,172.8360185
5,1,217.7357801,1.779699978,0
5,2,230.0929852,2.310985896,12.81084689
5,3,244.2476675,2.079171307,41.05776206
5,4,258.6764391,1.876689755,63.77342355
5,5,268.7454225,3.427669821,115
5,6,280.3338451,2.518515337,143.75
5,7,297.6379938,1.951520831,172.5
5,8,314.9604174,2.821188666,201.25
5,1,324.9144224,3.025184141,227.3195998
5,2,339.099092,1.953781162,15.34767962
5,3,352.878191,2.1964367,48.33900826
5,4,373.578127,0.864763008,75.91281381
5,5,390.790725,1.662197263,87.39600285
5,6,403.9024581,2.186460859,117.8187551
5,7,414.7707302,2.645314694,143.75
5,8,425.7952052,3.236938536,181.9132475
5,1,440.7452902,1.94083358,229.8345693
5,2,453.7601069,2.424957502,9.828083586
5,3,469.3024191,2.202468024,34.13373747
5,4,483.0172916,1.90278892,66.42194666
5,5,495.4794442,2.724131278,98.20337628
5,6,509.1433268,2.443876962,126.9885169
5,7,524.3624912,1.671585213,165.2424048
5,8,536.8502595,2.435014821,192.5021911
5,1,551.0785188,2.988262436,226.1345731
5,2,564.5525857,2.770234755,23.33036155
5,3,576.7386832,3.156469447,48.18856765
5,4,588.8216652,2.437756076,79.90307635
5,5,602.2002739,1.603202852,114.4492767
5,6,618.255875,2.525541036,140.4765481
5,7,633.0346359,2.329789422,172.4418067
5,8,647.0586923,2.018228865,200.7522598
5,1,661.1368411,1.931701339,228.6303687
5,2,674.6764881,2.615026138,21.73810491
5,3,688.4407686,2.00358771,50.4431781
5,4,702.646163,2.655779209,82.47950915
5,5,717.5906012,2.379207129,115
5,6,731.0387648,1.879859106,143.75
5,7,746.1761443,1.302831205,170.0669702
5,8,760.4747948,2.590019759,194.5955568
5,1,775.9390693,2.404200155,229.2677182
5,2,789.8021308,1.58494739,22.20178969
5,3,803.6792688,1.938253262,54.04579039
5,4,818.1597886,2.144435079,80.29005681
5,5,832.6712246,2.402651826,112.2288825
5,6,846.978123,2.441693374,141.5174257
5,7,862.4190149,2.67284464,170.7932193
5,8,877.979774,1.80065966,197.1229951
5,1,892.1580129,2.974332029,229.8543562
5,2,909.4230277,2.452440447,22.34846149
5,3,922.8371181,2.568699759,49.55520834
5,4,937.0851724,2.15748512,84.31127781
5,5,951.9575674,2.245343818,111.4575609
5,6,964.1935533,2.376025583,138.2087893
5,7,977.4636017,2.191728134,165.6949773
5,8,991.5208435,2.095045742,190.0698157
6,3,8.850020887,2.019254466,52.87928574
6,4,22.08351507,1.816647453,80.10569724
6,5,36.33041777,1.915898767,107.923819
6,6,48.70867374,2.774093663,141.0609179
6,7,61.69138714,2.098232944,170.1504929
6,8,73.29742652,2.510040386,200.8383342
6,1,86.89072952,1.959472481,229.615584
6,2,101.4186432,2.414892226,23.60341992
6,3,117.9817776,2.535601932,53.05119686
6,4,134.3149551,2.976722836,83.64690503
6,5,147.2858806,2.111482684,108.63354
6,6,158.4729707,1.948271219,142.2045102
6,7,177.329589,2.518546891,171.478753
6,8,192.6194872,2.903606662,195.9828532
6,1,202.606398,2.489109805,228.8349594
6,2,223.1958626,2.03459537,25.72302699
6,3,236.3395948,2.047436496,53.4567232
6,4,246.6997252,2.20404236,83.10056101
6,5,260.4096046,2.541265316,114.0128946
6,6,276.9485465,2.22997688,140.7077639
6,7,290.2898756,1.80639551,167.2474678
6,8,304.7292204,1.557863586,198.1549996
6,1,318.8058457,2.244590425,225.0897382
6,2,332.2394085,2.037526014,21.61189616
6,3,348.7073484,1.860893964,46.28324938
6,4,361.6243476,2.717879995,70.78590355
6,5,374.1837928,2.5810628,99.58554346
6,6,392.0425408,0.985781828,134.7069555
6,7,403.1272312,2.560013843,157.0758333
6,8,419.8214271,1.492662345,185.071189
6,1,434.4323917,1.942190673,227.7302347
6,2,445.957118,3.001287583,15.4437728
6,3,458.6932923,2.270948479,45.08577654
6,4,472.5967698,1.91050757,83.34086044
6,5,489.3135799,3.162428034,113.5585346
6,6,502.2847642,2.691970277,140.9110867
6,7,520.0207471,3.256292185,168.3681993
6,8,533.257752,2.411134994,199.8263431
6,1,549.5886411,2.402753479,225.4329396
6,2,562.5962033,3.151294902,20.42487958
6,3,573.7887315,2.702551456,48.22752533
6,4,586.2180726,2.945882603,77.51281075
6,5,601.8567595,2.644921656,115
6,6,616.9597362,2.21724033,137.1639094
6,7,633.0096579,1.093083545,166.8156902
6,8,646.81207,2.321247924,194.6381394
6,1,658.5840357,2.078784088,228.6268888
6,2,671.9951019,1.722987393,25.33244903
6,5,684.9186758,2.245670604,57.5
6,5,701.2264325,2.585970321,86.25
6,5,713.8025891,2.318656109,109.3005756
6,6,730.7246627,1.526511424,143.75
6,8,744.3086501,2.264212979,172.5
6,8,757.9055313,1.720748083,195.6815429
6,1,772.6044593,2.64424107,0
6,2,785.6706307,2.396086119,28.75
6,3,801.8971438,2.235325536,54.18664023
6,4,815.3805284,2.597406219,84.65177208
6,5,831.5178667,1.417014671,108.3085468
6,6,846.0637681,2.111158027,132.0131588
6,7,861.7804515,1.225110796,162.1739916
6,8,875.6878334,2.039031389,201.25
6,1,891.3930609,1.789615481,229.5623226
6,2,906.8127549,1.602030762,15.37680299
6,3,919.7441947,2.141915717,39.098707
6,4,936.1865696,1.556980874,67.46391683
6,5,950.3798851,1.919796127,94.46867315
6,6,961.8614191,2.674273896,119.8860687
6,7,974.3587355,2.346215056,147.3360653
6,8,986.1843566,2.426856846,181.072566
7,3,6.561694011,1.594777548,49.67586489
7,4,18.70129429,2.893967029,77.39804489
7,5,32.63701752,2.258803835,102.5801053
7,6,47.73931853,1.793898548,130.1664975
7,7,60.57163203,2.298541324,158.1963137
7,8,73.13341886,1.877145519,189.4348908
7,1,84.87912912,2.275507553,229.3559693
7,2,99.28745904,2.817836599,27.89522048
7,3,116.2272422,2.65051899,54.71185633
7,4,133.4404716,1.553104649,79.66851929
7,5,144.2707197,2.630159467,112.8663295
7,6,157.6797086,2.275733625,140.6489357
7,7,176.9240984,1.635492093,163.7981346
7,8,190.8054857,1.969719645,188.4568541
7,1,200.6714026,2.399858742,228.216498
7,2,221.7081108,2.372730394,25.45714037
7,3,234.3647951,1.754489636,53.9106455
7,4,245.2707876,2.139074302,84.0023862
7,5,260.0211739,1.442780502,111.6424131
7,6,275.5843009,2.45793305,138.5765965
7,7,287.3821336,2.656931063,168.772393
7,8,302.742525,1.783854824,200.9922106
7,1,316.6182476,1.580900611,228.7259919
7,2,328.7360894,2.239497319,27.05571962
7,3,342.6797344,2.166706412,51.5156198
7,4,355.9345834,2.720131145,76.46669038
7,5,368.2116574,2.3294467,115
7,6,382.8690663,2.401584722,142.0608607
7,7,397.1021987,2.514503661,167.8186042
7,8,408.9825317,2.8959918,193.6450312
7,1,427.4866925,1.261266295,228.9484319
7,2,441.5236118,1.876208215,18.36833518
7,3,453.2267555,1.691134791,57.5
7,4,471.0740647,1.78185319,75.65946634
7,5,488.8577702,1.451736864,100.9760623
7,6,501.2301786,2.451919964,125.4968767
7,7,518.7518804,2.281984642,155.5479179
7,8,532.6673011,2.548829228,181.697043
7,1,547.2654627,1.896922677,228.9951366
7,2,559.9543939,2.26575427,0
7,3,570.3577238,2.863595063,30.57171482
7,4,583.2521739,2.395024593,68.18316232
7,5,601.7711428,2.307779258,115
7,6,613.9893362,2.307751355,128.7242398
7,7,627.809406,1.964341919,163.1289587
7,8,643.9636622,1.505745415,191.3959929
7,1,656.6904759,2.680293368,229.9455293
7,2,670.0115987,1.987330898,17.92070232
7,3,680.6939028,2.692766422,48.62049711
7,4,695.5586392,2.400762518,82.89004607
7,5,711.3445168,2.688671198,111.2100452
7,6,723.5112996,2.469134586,142.7082705
7,7,738.8326387,2.390199603,169.8110654
7,8,754.6694637,2.126255474,192.951446
7,2,767.1149248,2.086676041,0
7,3,784.6578075,1.507976372,28.75
7,3,800.4148721,1.41053646,45.62069777
7,4,814.7652115,1.615208291,77.76803198
7,5,826.795648,2.538561192,106.1826814
7,6,840.5043353,2.045257461,139.7077014
7,7,853.3518192,2.837379614,166.0586313
7,1,869.4517511,2.667841325,201.25
7,1,885.0251151,2.222930403,224.2821809
7,2,898.4651019,2.482586825,15.61894579
7,3,911.1531503,2.306620532,51.42010292
7,4,924.1208574,2.349086939,81.32200292
7,5,939.6853501,1.943039892,111.7774744
7,6,952.937901,1.953172376,140.3686761
7,7,963.6334038,2.731947223,172.1522233
7,8,977.8701315,2.013370359,199.8164368
7,1,992.0029652,1.635581101,229.9420403
8,3,1.655595909,2.315379806,53.66666667
8,4,15.64253273,1.857581607,78.46860305
8,5,27.13857871,2.505953026,108.5394006
8,6,40.1672613,2.26748459,134.3009922
8,7,54.34869134,1.722405444,166.9228799
8,8,66.8392296,2.316221632,199.8844793
8,1,81.96635103,2.126928756,229.7075378
8,2,98.98411302,1.883217851,26.35997904
8,3,115.1753186,3.288927769,54.14745352
8,4,129.202843,3.526160015,75.75035273
8,5,143.4594873,3.098284714,107.3463938
8,6,156.3170428,3.648721169,139.2811364
8,7,171.603458,3.05095202,172.4430997
8,8,184.3105787,3.415261806,195.7914192
8,1,198.2037951,2.493325328,226.9555473
8,2,220.3203173,2.494944162,23.22788362
8,3,232.318984,3.32780189,49.31306813
8,4,244.2200462,1.991769333,79.63005147
8,5,257.6940099,3.198966037,104.095394
8,6,273.4795229,2.809799025,132.8222742
8,7,285.9791589,3.492055934,169.3335229
8,8,302.5980125,1.77264593,196.2471325
8,1,315.8123727,2.955390181,229.2444083
8,2,327.9795445,2.803184412,25.69858732
8,3,339.9177634,1.547071755,54.27416327
8,4,352.3379518,2.217947715,84.30699906
8,5,366.4906535,2.155021007,112.2234874
8,6,382.1657226,1.587183685,138.1292745
8,7,395.2404413,2.311609722,163.4247908
8,8,406.3564991,2.111862612,196.8630337
8,1,419.4721954,2.859466044,228.2618085
8,2,435.9902895,1.459701816,21.50937971
8,3,452.9689622,1.236154556,48.50167391
8,4,465.1305147,2.576808008,71.4549692
8,5,479.1976603,2.268289568,102.9637775
8,6,493.785758,1.853251777,132.997166
8,7,511.323223,1.349709457,159.4901772
8,8,524.9959527,2.164155432,178.0846347
8,1,534.9861391,2.817885946,229.9768612
8,2,546.487432,2.642123143,15.27163748
8,3,560.9540601,2.020322165,49.04892119
8,4,575.7086866,1.905225703,80.33349726
8,5,592.2711254,2.594144518,110.1112131
8,6,607.4783401,1.871805098,138.7178951
8,7,623.0388305,1.608726498,167.157549
8,8,637.4193905,2.26856088,191.4084757
8,1,651.3431592,2.155467923,229.1396748
8,2,664.5624319,2.11355179,22.91006974
8,3,677.3963635,2.403538469,56.78010784
8,4,694.159103,2.782354767,83.64694788
8,5,709.9349154,2.137062947,112.0191876
8,6,723.089399,3.06393768,143.3329217
8,7,737.7076555,2.33418943,172.1373063
8,8,750.7665677,2.089560841,197.0934382
8,1,764.3732263,2.246538639,228.5118883
8,2,778.3224905,2.583884654,23.73160846
8,3,791.9930393,1.743604707,55.50166937
8,4,809.5138962,1.247649657,80.74686081
8,5,823.3222952,2.306950133,108.4621332
8,6,838.52791,2.390555782,134.2101324
8,7,851.081637,2.340240365,162.5883934
8,8,863.7204019,1.955094643,197.4784596
8,1,879.2187808,2.324339996,0
8,2,893.1758391,1.763245664,26.12897313
8,3,908.5173041,2.102926711,49.57384996
8,4,922.0230223,2.227586918,80.32449596
8,5,938.0268532,2.929326384,109.1302601
8,6,951.2067052,2.367774854,139.1724487
8,7,963.5061038,1.64423544,169.4997718
8,8,977.1581099,1.994388068,193.9029601
8,1,991.3638039,1.826856527,229.9801346
9,4,11.45353941,2.402677854,77.26907112
9,5,24.56047796,2.349070038,107.5612261
9,6,36.00008511,2.378751508,142.352134
9,7,51.110708,2.225968629,162.0684056
9,8,66.24968297,1.796414949,192.6313315
9,1,81.82884658,2.490425518,229.698239
9,2,97.71499752,2.69036873,25.19960459
9,3,114.1559753,2.514028114,56.5828886
9,4,126.2251995,7.898029296,78.51775179
9,5,140.9892152,3.356298935,101.4187588
9,6,155.0922675,2.770133602,134.8866242
9,7,171.5848079,4.132281085,164.6436602
9,8,182.7122881,3.259143441,194.3660088
9,1,194.8032159,6.097725451,222.8358677
9,2,218.1069947,4.486729419,27.08446036
9,3,229.8588219,4.205030633,55.70451741
9,4,240.896394,7.581783267,85.16517868
9,5,254.2852191,3.188023842,107.5547723
9,6,269.5903743,4.641403112,139.8282377
9,7,285.072393,2.645624799,159.96358
9,8,299.7757526,3.23532281,194.3336603
9,1,315.3059745,4.530782695,228.4343562
9,2,326.8909922,1.754375254,23.72792786
9,3,337.8326392,2.209810637,53.74994273
9,4,351.4619163,2.307100245,78.48741874
9,5,365.2022612,2.634964965,110.738104
9,6,378.6244025,2.390302579,133.5565465
9,7,391.3145151,2.518341245,160.2392838
9,8,404.2792019,2.089508747,189.8455276
9,1,416.5328707,2.41310901,229.052159
9,3,431.0299474,3.100755966,28.75
9,3,445.6896733,2.339667154,57.5
9,4,459.388903,2.386789047,86.25
9,5,473.8913614,1.684158253,115
9,6,487.9836139,2.898849592,143.75
9,7,501.6842427,2.661263309,167.740479
9,8,514.2918393,2.729000444,194.2156751
9,1,527.744125,1.726510035,229.8322844
9,2,541.3860942,2.37504143,26.37073593
9,3,556.7710248,2.266589471,57.10943269
9,5,572.6032788,2.496755105,86.25
9,6,590.3865786,2.241262067,115
9,6,604.78997,2.422809951,143.75
9,7,619.7179112,2.388269417,172.5
9,8,633.0811669,2.120089375,201.25
9,1,647.518094,2.805197666,229.3633109
9,2,661.7993435,1.871453253,22.96352387
9,3,677.0968501,1.681159313,47.31292913
9,4,693.2235458,1.601612766,74.70676494
9,5,708.540098,1.695266275,103.2144659
9,6,722.953274,1.911289301,133.5003808
9,7,737.5522723,1.510460642,162.6616032
9,8,748.7773641,2.853525478,189.5461264
9,1,760.0815139,2.241388594,229.7770032
9,2,776.3803018,2.326216937,27.01506806
9,3,790.8469477,2.181200711,57.5
9,4,805.1030913,2.346519542,78.39167163
9,5,820.4883082,1.340804587,107.0236043
9,6,834.5372616,1.698857717,134.5664803
9,7,846.8463428,2.768723273,166.5651451
9,8,861.7913186,1.749126682,200.9970689
9,1,876.6105979,2.203512936,229.5114731
9,2,891.6893605,1.855563175,24.19519831
9,3,904.7481998,2.352129787,52.14221697
9,4,919.3629671,2.361346755,82.13084924
9,5,936.0230684,3.322858648,111.1062181
9,6,949.2734339,2.317215462,143.1736035
9,7,961.6814088,2.97812875,168.2515147
9,8,973.4742532,2.691013698,194.7255733
9,1,984.5039431,2.097445731,229.8015915
10,4,7.715656334,2.078790458,79.19610754
10,5,21.39378911,2.26249483,106.8801897
10,6,35.41243817,2.035573226,134.3391928
10,7,46.42439111,3.253819564,168.9624966
10,8,61.45197825,1.94175141,193.0074647
10,1,78.71825407,1.8883994,228.7519819
10,2,96.39532882,1.477387536,11.94254098
