Car_1_Station,Car_1_ArrivalTime,Car_2_Station,Car_2_ArrivalTime,Car_3_Station,Car_3_ArrivalTime,Car_4_Station,Car_4_ArrivalTime,Car_5_Station,Car_5_ArrivalTime,Car_6_Station,Car_6_ArrivalTime,Car_7_Station,Car_7_ArrivalTime,Car_8_Station,Car_8_ArrivalTime,Car_9_Station,Car_9_ArrivalTime,Car_10_Station,Car_10_ArrivalTime,Car_11_Station,Car_11_ArrivalTime,Car_12_Station,Car_12_ArrivalTime,Car_13_Station,Car_13_ArrivalTime,Car_14_Station,Car_14_ArrivalTime,Car_15_Station,Car_15_ArrivalTime,Car_16_Station,Car_16_ArrivalTime,Car_17_Station,Car_17_ArrivalTime,Car_18_Station,Car_18_ArrivalTime,Car_19_Station,Car_19_ArrivalTime,Car_20_Station,Car_20_ArrivalTime,Car_21_Station,Car_21_ArrivalTime,Car_22_Station,Car_22_ArrivalTime,Car_23_Station,Car_23_ArrivalTime,Car_24_Station,Car_24_ArrivalTime,Car_25_Station,Car_25_ArrivalTime,Car_26_Station,Car_26_ArrivalTime,Car_27_Station,Car_27_ArrivalTime,Car_28_Station,Car_28_ArrivalTime,Car_29_Station,Car_29_ArrivalTime,Car_30_Station,Car_30_ArrivalTime
8,205.8,8,202.5,8,198.7,8,195.3,8,192,8,188.5,1,199.1,1,195.5,1,191.8,1,188.4,1,184.9,2,197.8,2,194.3,2,190.8,2,187.3,2,183.6,2,179.9,3,192.3,3,188.7,3,184.8,3,181.3,3,177.9,4,188.8,4,185.1,4,181.8,4,178.3,4,174.7,5,184.1,5,180.7,5,177.4
1,220.1,1,216.7,1,213.7,1,209.9,1,206.2,1,202.6,2,214.9,2,211.5,2,208,2,204.6,2,201.2,3,212.9,3,209.4,3,206,3,202.7,3,199.2,3,195.8,4,205.9,4,202.4,4,199.2,4,195.6,4,192.3,5,200.5,5,197.2,5,194,5,190.6,5,187.4,6,193.9,6,190.7,6,187.8
2,236.3,2,232.6,2,229.1,2,225.6,2,222.1,2,218.5,3,229.9,3,226.7,3,223.5,3,220,3,216.5,4,226,4,222.3,4,218.9,4,215.9,4,212.7,4,209.2,5,216.8,5,213.7,5,210.9,5,207.1,5,204,6,211.1,6,207.6,6,204.3,6,200.7,6,197.5,7,204.7,7,201.1,7,197.8
3,250.1,3,246.5,3,243.3,3,240.1,3,236.7,3,233.5,4,242.3,4,238.9,4,235.8,4,232.6,4,229.3,5,237,5,233.7,5,230.5,5,227.2,5,223.6,5,220.2,6,227.3,6,224.2,6,221.2,6,217.7,6,214.4,7,221.9,7,218.3,7,214.7,7,211.1,7,207.9,8,216.1,8,212.9,8,209.4
4,262.5,4,258.8,4,255.6,4,252.3,4,249.1,4,245.6,5,253.6,5,250.4,5,247.3,5,243.8,5,240,6,247.7,6,244.4,6,241,6,237.4,6,234.1,6,230.5,7,238.9,7,235.4,7,232.2,7,228.8,7,225.3,8,234,8,230.5,8,226.6,8,223.6,8,220,1,231,1,227.4,1,223.9
5,273.5,5,270.2,5,267.2,5,263.9,5,260.4,5,257,6,264.4,6,261.1,6,257.7,6,254.3,6,251,7,259.5,7,256,7,252.6,7,249.3,7,245.6,7,242.3,8,251.5,8,247.9,8,244.5,8,241,8,237.3,1,248.8,1,245.2,1,241.8,1,238.2,1,234.7,2,246.8,2,243.1,2,240.1
6,284.6,6,281.4,6,277.9,6,274.5,6,271.6,6,267.9,7,276.9,7,273.4,7,270.3,7,266.4,7,262.8,8,272.7,8,269.2,8,265.5,8,262.1,8,258.4,8,254.7,1,266.1,1,263,1,258.9,1,255.7,1,252,2,264.1,2,260.7,2,257.1,2,253.7,2,250.3,3,260.3,3,256.6,3,253.5
7,297.1,7,293.8,7,290.9,7,287.3,7,284.1,7,280.8,8,290.3,8,286.6,8,282.7,8,279.5,8,276.1,1,287.3,1,283.9,1,280,1,276.4,1,272.9,1,269.6,2,281.2,2,277.7,2,274.4,2,271,2,267.5,3,277.2,3,273.6,3,270,3,266.8,3,263.1,4,272.6,4,269,4,265.9
8,310.3,8,307.2,8,303.8,8,300.4,8,297.1,8,293.1,1,304.4,1,300.9,1,297.4,1,294,1,290.4,2,301.6,2,298,2,294.5,2,291.1,2,288,2,284.7,3,293.8,3,290.3,3,287.2,3,284.3,3,280.7,4,289.4,4,286.1,4,282.8,4,279.1,4,275.7,5,284,5,280.2,5,276.8
1,324.9,1,321.4,1,317.9,1,314.6,1,311.4,1,307.9,2,318.3,2,314.8,2,311.3,2,308.3,2,304.8,3,314.2,3,311,3,307.7,3,304.2,3,301,3,297.2,4,306.2,4,302.8,4,299.1,4,296.1,4,292.7,5,300.4,5,297.3,5,293.7,5,290.4,5,287.4,6,294.3,6,291.2,6,288
